GID_0,Max,Mean,Min
USA,285.54010009765625,285.3495635986328,285.2463073730469
USA,284.9100646972656,284.4495544433594,283.9084167480469
USA,277.34356689453125,275.99430106026784,274.0033264160156
USA,277.2484436035156,276.34609002582096,272.6990051269531
USA,268.0871276855469,266.61097935267856,265.0939636230469
USA,273.67254638671875,269.7470130200656,255.93243408203125
USA,273.5759582519531,273.47698974609375,273.3780212402344
USA,264.89666748046875,257.56790111910914,250.29791259765625
USA,273.9257507324219,271.9333383660567,269.10064697265625
USA,259.9957580566406,257.5884614424272,254.23963928222656
USA,268.9412536621094,261.1073799133301,254.03150939941406
USA,270.84112548828125,266.6820373535156,259.3529357910156
USA,276.62188720703125,269.6484779535338,257.04205322265625
USA,273.5584411621094,272.14105834960935,269.0215148925781
USA,277.4579772949219,275.7530578613281,273.5396423339844
USA,276.80743408203125,272.7984024850946,261.9564514160156
USA,267.1023864746094,257.6524234008789,250.29791259765625
USA,265.7812805175781,255.72635167081592,249.05767822265625
USA,248.40777587890625,241.45676626008134,232.37164306640625
USA,253.36936950683594,247.80693543073042,241.12522888183594
USA,277.3282775878906,272.31247275216236,262.2314758300781
USA,277.09600830078125,273.84613271859973,269.86993408203125
USA,275.80523681640625,267.79236094156903,254.03150939941406
USA,259.9957580566406,252.80557851322362,246.69244384765625
USA,276.6022644042969,261.92024984704443,250.71702575683594
USA,273.3869934082031,269.57625393337673,264.0588684082031
USA,277.19927978515625,271.11398162841795,264.4670715332031
USA,271.60430908203125,254.10109677522078,242.44944763183594
USA,280.6340026855469,276.9555017807904,274.3597717285156
USA,282.1764221191406,281.34882269965277,280.8534240722656
USA,281.8315124511719,276.1064780099051,272.7359924316406
USA,285.3542175292969,282.27782864040796,278.2914733886719
USA,282.1764221191406,281.1524200439453,278.9548034667969
USA,281.8752136230469,280.183096749442,277.03729248046875
USA,286.00494384765625,284.7843933105469,283.1163635253906
USA,286.40386962890625,284.4948892032399,281.7372741699219
USA,284.4313659667969,279.35150840065694,275.0511169433594
USA,282.76666259765625,277.5438315651634,274.3597717285156
USA,288.2811584472656,285.2196301912007,281.5334167480469
USA,285.8895568847656,284.5818748474121,281.9442443847656
USA,286.15826416015625,283.80970255533856,281.5334167480469
USA,285.51617431640625,280.5469014485677,275.68072509765625
USA,287.57769775390625,286.4490051269531,285.6799011230469
USA,286.1569519042969,285.9430694580078,285.7074279785156
USA,286.50201416015625,286.03431701660156,285.5666198730469
USA,285.2301940917969,285.00722249348956,284.72369384765625
USA,285.6706237792969,285.24867248535156,284.82672119140625
USA,284.72369384765625,284.61131286621094,284.4989318847656
USA,286.0329284667969,285.7997741699219,285.5666198730469
USA,286.4010925292969,286.0321960449219,285.5666198730469
USA,284.82672119140625,284.66282653808594,284.4989318847656
USA,286.50201416015625,286.25917053222656,286.0602722167969
USA,286.1281433105469,285.72471618652344,285.2210998535156
USA,285.7546081542969,285.6664733886719,285.5783386230469
USA,285.83013916015625,285.44195556640625,285.0677795410156
USA,286.0329284667969,285.84364318847656,285.65435791015625
USA,286.4010925292969,286.14320373535156,285.88531494140625
USA,285.47613525390625,285.32623291015625,285.17633056640625
USA,286.0964050292969,286.0900573730469,286.0837097167969
USA,285.9134826660156,285.7276840209961,285.30133056640625
USA,286.0892639160156,286.03538513183594,285.98150634765625
USA,286.2570495605469,286.17315673828125,286.0892639160156
USA,286.1281433105469,285.9111099243164,285.65435791015625
USA,286.1569519042969,285.97845458984375,285.8299865722656
USA,286.50201416015625,286.0646286010742,285.5666198730469
USA,286.0502014160156,285.48240661621094,285.17633056640625
USA,285.88433837890625,285.36260986328125,284.6561584472656
USA,285.2897644042969,285.2599792480469,285.2301940917969
USA,285.8290100097656,285.3501281738281,285.1234436035156
USA,285.8290100097656,285.74168395996094,285.65435791015625
USA,286.0964050292969,285.8782653808594,285.5783386230469
USA,286.3576354980469,285.7152862548828,285.2210998535156
USA,285.8290100097656,285.4256896972656,285.2210998535156
USA,285.78814697265625,285.55352783203125,285.31890869140625
USA,286.0837097167969,285.8886413574219,285.6935729980469
USA,285.6935729980469,285.32032775878906,285.0677795410156
USA,286.2570495605469,285.9661178588867,285.6935729980469
USA,285.8299865722656,285.74217224121094,285.65435791015625
USA,285.6086120605469,285.13238525390625,284.6561584472656
USA,286.3576354980469,286.12147521972656,285.88531494140625
USA,286.0837097167969,285.6613464355469,285.2897644042969
USA,286.03717041015625,286.00933837890625,285.98150634765625
USA,286.1569519042969,285.9185562133789,285.65435791015625
USA,286.2062683105469,285.99720764160156,285.78814697265625
USA,285.88433837890625,285.74647521972656,285.6086120605469
USA,286.0502014160156,285.70807393391925,285.17633056640625
USA,285.30133056640625,284.82078552246094,284.4989318847656
USA,285.2301940917969,284.97694396972656,284.72369384765625
